name,bppe_approved_email,bppe_approved_search,bppe_exempt
Golden Truck Driving School Inc.,FALSE,FALSE,not on list
Green Valley Truck School,TRUE,TRUE,not on list
GSF Driving & Truck Training School,TRUE,TRUE,not on list
Gurmit truck academy inc,FALSE,FALSE,not on list
Halpin Transportation LLC DBA Halpin Trucking School,FALSE,FALSE,Approved
Hannas truck driving school,FALSE,FALSE,not on list
Harbor Trucking School,FALSE,FALSE,Approved
Harvest Training and Consulting,FALSE,FALSE,not on list
Haryana Truck Driving School,FALSE,FALSE,not on list
HB CDL Driving Academy,FALSE,FALSE,not on list
Hi-Desert Truck Driving School,TRUE,FALSE,not on list
"High Desert Truck School, LLC",FALSE,FALSE,Approved
HIGH IMPACT ACADEMY INC,FALSE,FALSE,not on list
Hot Shots Driving Clinics - CA,FALSE,FALSE,not on list
I-5 Trucking Academy LLC,FALSE,FALSE,not on list
in Motion Trucking School,FALSE,FALSE,not on list
indus truck school inc,FALSE,FALSE,not on list
International truck driving school,FALSE,FALSE,not on list
International truck school,FALSE,FALSE,not on list
J&R Trucking School,TRUE,TRUE,not on list
Jager Trucking School,FALSE,FALSE,not on list
"Jiffy's Truck School, LLC",TRUE,TRUE,not on list
Jose G. Campos Truck Driving Training,TRUE,TRUE,not on list
Junan Truck Driving School,FALSE,FALSE,not on list
king truck school,FALSE,FALSE,not on list
Local Driving School CDL,FALSE,FALSE,not on list
Lopez & Lopez Trucking LLC,FALSE,FALSE,not on list
Lopez Trucking,FALSE,FALSE,not on list
Los Angeles Trucking College,FALSE,FALSE,not on list
M&M logistic Trucking Inc,FALSE,FALSE,not on list
Maatson Trucking School,FALSE,FALSE,not on list
MAJOR EXPRESS TRUCK SCHOOL,FALSE,FALSE,not on list
Masters Trucking Academy,TRUE,TRUE,not on list
Mejor Express,FALSE,FALSE,not on list
MERCURY TRUCK DRIVING SCHOOL LLC,FALSE,FALSE,not on list
"Mid Valley Truck School, LLC",FALSE,FALSE,Approved
Mid-California Truck School,FALSE,FALSE,not on list
"MISSION TRUCK DRIVING SCHOOL, LLC",FALSE,FALSE,not on list
MM Commercial Training Services,FALSE,FALSE,not on list
Moga Truck School Inc.,FALSE,FALSE,not on list
MTS Training Academy,TRUE,TRUE,not on list
"Multipurpose Driving School, LLC",FALSE,FALSE,Approved
"NASTRUCK CDL School, LLC",FALSE,FALSE,not on list
NEW LEGEND TRUCK DRIVING SCHOOL,FALSE,FALSE,not on list
New Look Truck Driving School Inc,FALSE,FALSE,not on list
Nixon College,TRUE,TRUE,not on list
NorCal CDL Academy,FALSE,FALSE,not on list
Northwest Lineman College,TRUE,TRUE,not on list
NS Truck Driving School INC,FALSE,FALSE,not on list
Number 1 truck and car driving school llc,FALSE,FALSE,not on list
NUMERO 1 TRUCKING,FALSE,FALSE,not on list
On the move trucking school,FALSE,FALSE,not on list
P. Steve Ramirez Vocational Training Centers,TRUE,TRUE,not on list
Pacific Truck Driving School Inc.,FALSE,FALSE,not on list
Pacific Truck school,FALSE,FALSE,not on list
Perfect Truck School Inc,FALSE,FALSE,not on list
"Performance Trucking Academy, LLC",TRUE,TRUE,not on list
Performing Solutions,FALSE,FALSE,Denied
Pilot Trucking School,TRUE,TRUE,not on list
PJ Trucking Academy,FALSE,FALSE,not on list
premier trucking school,FALSE,FALSE,not on list
PRIME TRUCK SCHOOL LLC,FALSE,FALSE,not on list
Progress Trucking School,FALSE,FALSE,not on list
R and C trucking,FALSE,FALSE,not on list
Red Line Trucking School LLC,FALSE,FALSE,not on list
Red Zone Trucking,FALSE,FALSE,not on list
Right Lane Trucking School,FALSE,FALSE,Approved
"Roadmaster Drivers School of Fontana, Inc.",TRUE,TRUE,not on list
Saber Trucking School,FALSE,FALSE,not on list
SAC TRUCK DRIVING SCHOOL INC,FALSE,FALSE,not on list
SAFEWAY TRUCK DRIVING SCHOOL,FALSE,FALSE,not on list
San Diego Truck Driving School,FALSE,FALSE,not on list
San Joaquin Truck Driving School,FALSE,FALSE,not on list
San Jose Trucking School,FALSE,FALSE,Denied
School of Trucking,FALSE,FALSE,not on list
Sergio School of Trucking,TRUE,TRUE,not on list
Simmon's Trucking School Inc,FALSE,FALSE,not on list
SKILLED CDL TRAINING,FALSE,FALSE,not on list
Skyway Trucking School,TRUE,TRUE,not on list
SoCal Truck Driver Academy LLC.,FALSE,FALSE,not on list
Socal Trucking School,FALSE,FALSE,not on list
south bay truck driving school inc,FALSE,FALSE,not on list
SPCDL Truck Driving School,FALSE,FALSE,not on list
Stockton Truck Driving School LLC,FALSE,FALSE,not on list
SUTTER POINT DRIVING SCHOOL INC,FALSE,FALSE,not on list
TEOFT (Training & Employment Of Truckers),FALSE,FALSE,not on list
The Truck Master School,FALSE,FALSE,not on list
Toro School of Truck Driving,FALSE,FALSE,Approved
Train 4 Less,FALSE,FALSE,not on list
Transportation Guidance & Assistance Truck Driving School,TRUE,TRUE,not on list
Tresser's Trucking School / Able Transportation,FALSE,FALSE,not on list
Tri Counties Truck Driving School,FALSE,FALSE,Approved
Truck Driver Institute,TRUE,TRUE,not on list
Truck Driving Academy,FALSE,FALSE,not on list
Truck Nation School,FALSE,FALSE,not on list
Truckmaster CDL School LLC,FALSE,FALSE,Approved
Twin Cities Equipment Rentals,FALSE,FALSE,not on list
UNION TRUCK SCHOOL,FALSE,FALSE,not on list
UNITED DRIVING SCHOOL INC,FALSE,FALSE,not on list
United Truck Driving School,TRUE,TRUE,not on list
United Truck Driving School,TRUE,TRUE,not on list
"Universal Truck Driving School, Inc",TRUE,TRUE,not on list
US Truck Driving School,FALSE,FALSE,not on list
"Valencia Training Solutions, Inc. dva Valencia Trucking School",TRUE,TRUE,Approved
VALLEY TRUCK DRIVING SCHOOL,FALSE,FALSE,not on list
ventura county trucking academy llc,FALSE,FALSE,not on list
VTS LLC,FALSE,FALSE,not on list
WEST COAST TRUCK SCHOOL INC.,FALSE,FALSE,not on list
West Coast Trucking School LLC,FALSE,FALSE,not on list
Western Pacific Truck School,TRUE,TRUE,not on list
Western Truck School,TRUE,TRUE,not on list
"William M. Maguy School of Education A Division of Proteus, Inc.",TRUE,TRUE,not on list
Xpert Trucking School LLC,FALSE,FALSE,not on list
YG TRUCK DRIVING SCHOOL INC,FALSE,FALSE,not on list
YUBA SUTTER TRUCK DRIVING SCHOOL INC,FALSE,FALSE,not on list
YUBA TRUCK DRIVING SCHOOL INC,FALSE,FALSE,not on list

Zone 1 Trucking School,FALSE,FALSE,not on list
